Wavelength (nm),Dual-Gs,Dual-Rho
348.557,6.51E-06,-3.28E-04
349.353,6.51E-06,-1.69E-04
350.149,6.51E-06,-2.01E-04
350.945,4.52E-05,-3.25E-06
351.741,0.000125734,-2.99E-04
352.536,0.000235223,-2.45E-04
353.332,0.000328174,-2.28E-04
354.128,0.000346455,-8.87E-05
354.923,0.000384749,4.96E-05
355.719,0.000343606,-3.03E-05
356.514,0.000352489,-2.21E-04
357.31,0.000419892,-3.71E-04
358.105,0.000456372,-5.27E-04
358.9,0.000483593,-4.57E-04
359.695,0.000475307,-6.09E-04
360.49,0.000394009,-9.96E-04
361.285,0.000310554,-9.90E-04
362.08,0.00031245,-5.01E-04
362.875,0.000398619,1.37E-04
363.669,0.000503134,8.67E-04
364.464,0.000523935,0.000887268
365.259,0.000607827,7.31E-04
366.053,0.000646074,5.51E-04
366.848,0.000573771,3.75E-04
367.642,0.000506498,3.79E-04
368.436,0.000446952,1.79E-04
369.23,0.000354628,3.23E-04
370.025,0.00030541,5.48E-04
370.819,0.000226356,0.000808546
371.613,0.000181226,7.67E-04
372.406,0.000177209,3.81E-04
373.2,0.000168523,2.81E-04
373.994,0.000154352,5.26E-05
374.788,0.000174255,-1.57275E-05
375.581,0.000178171,-0.000599165
376.375,0.00026622,-9.80E-04
377.168,0.000288894,-1.19E-03
377.962,0.000303553,-8.44E-04
378.755,0.000344793,-5.70E-05
379.548,0.000347934,0.000543959
380.341,0.000275229,0.000884542
381.134,0.000309909,5.75E-04
381.927,0.000350052,0.00084849
382.72,0.000385632,4.78E-04
383.513,0.000388887,4.28E-04
384.306,0.000380234,1.32E-06
385.098,0.000361736,-6.63E-05
385.891,0.000321649,3.04E-04
386.684,0.000309982,0.000676926
387.476,0.000270804,0.000923372
388.268,0.000297445,3.07E-04
389.061,0.000349627,-1.03E-04
389.853,0.000304666,-1.02E-04
390.645,0.000232999,0.000552355
391.437,0.000271086,1.33E-03
392.229,0.000251016,0.001446239
393.021,0.000284653,0.001255921
393.813,0.000301785,0.000709925
394.605,0.000365084,0.000734894
395.396,0.000351723,0.001004557
396.188,0.000287898,1.16E-03
396.979,0.00024074,0.001182679
397.771,0.000236686,0.000724912
398.562,0.000200255,0.000264376
399.353,0.000226262,-2.55E-04
400.145,0.00029571,-5.25E-04
400.936,0.000328568,-0.000769383
401.727,0.000386632,-5.11E-04
402.518,0.000516294,0.000354824
403.309,0.000592931,0.001305956
404.1,0.000621225,0.002151012
404.89,0.000577229,0.001937944
405.681,0.000455177,1.01E-03
406.472,0.000376571,-0.000546725
407.262,0.000349701,-0.001372361
408.053,0.000366169,-0.001765204
408.843,0.000372511,-1.65E-03
409.633,0.000399061,-0.001751435
410.424,0.000421255,-0.002000014
411.214,0.000431186,-0.002069372
412.004,0.000399108,-0.00192733
412.794,0.000420779,-0.001126663
413.584,0.000465346,-0.00089997
414.374,0.000451026,-5.43E-04
415.163,0.000443758,-0.000827538
415.953,0.000471156,-1.27E-03
416.743,0.000516134,-0.002029125
417.532,0.000560229,-2.45E-03
418.322,0.000535576,-0.002110987
419.111,0.000482511,-0.00145684
419.9,0.000434416,-0.000625101
420.69,0.000373766,-0.000518567
421.479,0.000335719,-1.04E-03
422.268,0.000387364,-0.00163325
423.057,0.000435697,-0.001910126
423.846,0.000492108,-0.001478443
424.635,0.000446896,-0.000849731
425.424,0.000398338,0.000415911
426.212,0.00030442,0.001267071
427.001,0.000172636,1.48E-03
427.789,8.05E-05,0.000930763
428.578,4.78E-05,8.57068E-05
429.366,5.24E-05,-4.27E-04
430.155,0.000139597,-0.000717718
430.943,0.000215879,-0.000613095
431.731,0.000318121,-3.40E-04
432.519,0.00033758,-0.000211382
433.307,0.000338385,-6.96E-04
434.095,0.00034361,-0.001123885
434.883,0.000342688,-1.66E-03
435.671,0.000334173,-0.001761008
436.458,0.000377229,-0.001059661
437.246,0.000402325,1.98E-04
438.033,0.000412671,0.00178415
438.821,0.000310154,0.002767165
439.608,0.000306836,0.003143917
440.396,0.000320418,0.002843736
441.183,0.000318676,2.11E-03
441.97,0.000297137,0.001472872
442.757,0.000332005,0.001135516
443.544,0.000334799,0.000942423
444.331,0.000308589,0.000766685
445.118,0.000193048,0.000680127
445.905,0.000216455,0.000454852
446.691,0.000237082,-1.32E-04
447.478,0.000291154,-0.000690541
448.265,0.000276913,-0.001230977
449.051,0.000306224,-1.09E-03
449.837,0.000322852,-0.000664538
