Wavelength,Dual-GCaMP6f,Dual-tdTomato
347.565,0.000330035,0
348.354,1.33E-04,0.00E+00
349.142,0.000330035,0
349.931,1.33E-04,0.00E+00
350.72,-0.000268095,0.00E+00
351.508,-8.37E-05,0
352.297,0.000350394,0
353.085,0.000129085,0
353.874,0.000193982,0.00E+00
354.662,2.86E-04,0
355.45,0.000234182,0.00E+00
356.238,1.27E-04,0
357.027,4.47E-04,0.00E+00
357.815,0.000368658,0.00E+00
358.603,-1.85E-04,0
359.39,-9.93E-05,0
360.178,0.000266939,0.00E+00
360.966,6.55E-04,0
361.754,2.02E-04,0
362.541,0.000367365,0.00E+00
363.329,0.000272453,0.00E+00
364.116,3.56E-05,0.00E+00
364.904,0.000134774,0.00E+00
365.691,0.000473794,0
366.478,8.30E-05,0
367.265,-5.88E-05,0
368.052,6.70E-05,0
368.84,5.88E-04,0.00E+00
369.626,3.50E-04,0
370.413,3.72E-04,0
371.2,1.36E-04,0.00E+00
371.987,1.66E-05,0
372.774,0.000128389,0
373.56,-7.04E-06,0.00E+00
374.347,0.000107619,0.00E+00
375.133,-0.000147143,0.00E+00
375.92,0.000350943,0
376.706,0.000362116,0
377.492,0.000616555,0.00E+00
378.278,0.000127802,0
379.064,0.000139925,0
379.85,1.35E-04,0
380.636,0.00036952,0
381.422,0.000122915,0
382.208,0.000367032,0
382.994,1.06E-06,0
383.779,-0.000121927,0.00E+00
384.565,1.28E-04,0.00E+00
385.351,0.000260887,0
386.136,-0.000223097,0
386.921,0.000390006,0
387.707,0.000517236,0
388.492,2.13E-05,0
389.277,-0.000341179,0
390.062,-1.02E-04,0
390.847,0.000398487,0
391.632,-8.97E-05,0.00E+00
392.417,3.08E-05,0.00E+00
393.202,0.000165465,0
393.987,2.98E-04,0.00E+00
394.771,0.000159541,0.00E+00
395.556,4.71E-05,0
396.34,0.000299569,0.00E+00
397.125,-0.00019929,0
397.909,0.000297669,0
398.694,0.000427004,0.00E+00
399.478,-5.82E-05,0.00E+00
400.262,3.16E-04,0
401.046,3.17E-04,0.00E+00
401.83,1.92E-04,0
402.614,0.000198732,0
403.398,0.000203266,0
404.182,0.000579019,0
404.965,-3.77E-05,0.00E+00
405.749,-2.86E-04,0.00E+00
406.533,3.41E-04,0
407.316,2.15E-04,0.00E+00
408.1,0.000332248,0
408.883,0.000219943,0.00E+00
409.666,-2.51E-05,0.00E+00
410.45,-1.52E-05,0
411.233,0.000231763,0.00E+00
412.016,0.000237012,0.00E+00
412.799,0.000112065,0.00E+00
413.582,0.000608084,0
414.365,-3.66E-06,0
415.147,0.000363282,0
415.93,0.000365123,0
416.713,-0.000113691,0.00E+00
417.495,0.000248176,0.00E+00
418.278,3.81E-04,0
419.06,0.000501782,0.00E+00
419.843,0.000257577,0
420.625,0.000252965,0
421.407,-0.000109274,0
422.189,0.000266645,0
422.971,0.000513651,0
423.753,0.000396548,0
424.535,0.000397077,0.00E+00
425.317,3.16E-05,0
426.099,-0.000209827,0.00E+00
426.881,0.000408035,0.00E+00
427.662,3.74E-05,0
428.444,0.000419581,0
429.225,0.000302086,0.00E+00
430.007,0.000183386,0
430.788,0.000312398,0
431.569,0.000200798,0.00E+00
432.351,4.50E-04,0
433.132,0.000457861,0.00E+00
433.913,0.000470759,0
434.694,-1.60E-05,0.00E+00
435.475,0.000243436,0
436.256,0.000371194,0.00E+00
437.036,0.000146115,0
437.817,0.000413441,0
438.598,0.000684939,0
439.378,0.000587803,0
440.159,0.000488474,0.00E+00
440.939,0.000643339,0
441.719,0.000809152,0.00E+00
442.5,0.000723807,0.00E+00
443.28,0.001006733,0.00E+00
444.06,0.000920722,0
444.84,4.80E-04,0
445.62,0.000282951,0
446.4,0.000578745,0
447.18,0.000507511,0
447.959,0.001177834,0
448.739,0.000744029,0
449.519,0.001180988,0.00E+00
450.298,0.001114905,0
451.078,0.001304104,0.00E+00
451.857,0.001249391,0
452.636,0.001446639,0
453.416,0.001766426,0
454.195,0.001103154,0
454.974,0.001677066,0
455.753,0.001138545,0
456.532,0.001460623,0.00E+00
457.311,0.002034761,0
458.09,0.002357143,0
458.868,0.001715464,0
459.647,0.00216055,0
460.426,0.002244701,0
461.204,0.002580685,0
461.983,0.002295379,0
462.761,0.002260457,0
463.539,0.002468214,0.00E+00
464.317,0.002191809,0
465.096,0.002783055,0
465.874,0.002381948,0
466.652,0.002487584,0
467.43,0.002851634,0
468.207,0.003587766,0
468.985,0.003113682,0
469.763,0.003009437,0.00E+00
470.541,0.004272984,0
471.318,0.003829719,0
472.096,0.003999762,0
472.873,0.003831031,0
473.65,0.004279888,0
474.428,0.00476018,0
475.205,0.004652566,0
475.982,0.004947743,0
476.759,0.005266276,0
477.536,0.005744306,0
478.313,0.005510726,0
479.09,0.006171159,0
479.866,0.006469891,0
480.643,0.007417274,0
481.42,0.008011399,0
482.196,0.008237115,0
482.973,0.009111815,0
483.749,0.009606043,0
484.525,0.009614915,0
485.302,0.010488362,0
486.078,0.010998151,0
486.854,0.011752477,0
487.63,0.012138767,0
488.406,0.012662873,0
489.182,0.012948874,0
489.958,0.012863451,0
490.733,0.01401765,0
491.509,0.014690989,0
492.285,0.015486064,0
493.06,0.015540023,0
493.836,0.016451927,0
494.611,0.016632253,0
495.386,0.016811864,0
496.161,0.017716394,0
496.937,0.018708834,0
497.712,0.019100138,0
498.487,0.021796003,0
499.262,0.031721661,0
500.036,0.061624298,0
500.811,0.124101973,0
501.586,0.217033889,0
502.36,0.323850415,0
503.135,0.435998089,0
503.909,0.547848618,0
504.684,0.651376849,0
505.458,0.743004215,0
506.232,0.813570021,0
507.007,0.863724436,0
507.781,0.899039268,0
508.555,0.928742816,0
509.329,0.952172072,0
510.103,0.971500987,0
510.876,0.986482996,0
511.65,0.995468929,0
512.424,1,0
513.197,0.99834605,0
513.971,0.993078456,0
514.744,0.981557782,0
515.518,0.964815658,0
516.291,0.942423381,0
517.064,0.919398268,0
517.837,0.892684057,0
518.611,0.865064357,0
519.384,0.836757941,0
520.156,0.808587058,0
520.929,0.780333327,0
521.702,0.753286805,0
522.475,0.72680778,0
523.247,0.699837211,0
524.02,0.673884515,0
524.792,0.648448374,0
525.565,0.624642122,0
526.337,0.601400763,0
527.109,0.579657,0
527.882,0.559747102,0
528.654,0.541750588,0
529.426,0.525402852,0
530.198,0.511531875,0
530.97,0.49837618,0.000981428
531.741,0.486582999,0.002595022
532.513,0.475352644,0.002968512
533.285,0.463798155,0.003430512
534.056,0.452605277,0.004116092
534.828,0.441618863,0.004813637
535.599,0.431732954,0.005413736
536.371,0.421184928,0.006247826
537.142,0.411165405,0.007238996
537.913,0.401990685,0.008862271
538.684,0.393037509,0.011097759
539.455,0.385985113,0.015115617
540.226,0.3792522,0.018033354
540.997,0.371858689,0.019432993
541.768,0.365616135,0.020549154
542.539,0.35840479,0.021288846
543.31,0.351220181,0.023096524
544.08,0.342365414,0.024973494
544.851,0.329356347,0.027280978
545.621,0.3072369,0.031572376
546.392,0.271292287,0.035041982
547.162,0.225317457,0.023399457
547.932,0.176988299,0.003491521
548.702,0.130421029,0.000312176
549.473,0.088519266,3.33E-05
550.243,0.054151268,4.57E-06
551.013,0.027455977,8.59E-07
551.782,0.011729699,3.50E-07
552.552,0.00490485,1.54E-07
553.322,0.00323719,1.13E-07
554.092,0.003127853,1.28E-07
554.861,0.002986766,1.43E-07
555.631,0.002255013,1.60E-07
556.4,0.002645367,1.79E-07
557.169,0.001951345,1.98E-07
557.939,0.002127333,2.21E-07
558.708,0.002298464,2.45E-07
559.477,0.002607703,2.68E-07
560.246,0.002457882,2.96E-07
561.015,0.001692176,3.25E-07
561.784,0.001792406,3.52E-07
562.553,0.002389459,3.83E-07
563.322,0.001866637,4.17E-07
564.09,0.001856599,4.51E-07
564.859,0.001347849,4.82E-07
565.627,0.001341992,5.17E-07
566.396,0.001581938,5.53E-07
567.164,0.001832783,5.85E-07
567.933,0.001594169,6.20E-07
568.701,0.001727088,7.98E-07
569.469,0.001863895,1.67E-06
570.237,0.002006626,4.85E-06
571.005,0.002262083,1.64E-05
571.773,0.001834389,7.54E-05
572.541,0.001993445,0.000427899
573.309,0.002281042,0.005973139
574.076,0.005156214,0.057808906
574.844,0.011771896,0.416138947
575.612,0.021137088,0.813831287
576.379,0.031748082,0.908132614
577.146,0.043240681,0.931520234
577.914,0.056878411,0.958921082
578.681,0.067074412,0.976622666
579.448,0.074492259,0.977313214
580.215,0.079019598,0.987492586
580.982,0.079704082,0.998314135
581.749,0.080245746,0.992320461
582.516,0.078829019,0.985119565
583.283,0.077031574,0.990617293
584.05,0.074943319,1
584.816,0.073742731,0.993693504
585.583,0.073217293,0.979260671
586.349,0.070341838,0.972248234
587.116,0.069511861,0.97364494
587.882,0.068306171,0.972060156
588.649,0.065982808,0.960461763
589.415,0.064331346,0.944065173
590.181,0.062932481,0.935938804
590.947,0.061260062,0.934669661
591.713,0.059933713,0.927854908
592.479,0.058379758,0.913812465
593.245,0.056248092,0.897763896
594.01,0.05605005,0.887823503
594.776,0.054085911,0.881648537
595.542,0.052405363,0.872284721
596.307,0.05112413,0.859540486
597.073,0.050241654,0.847003445
597.838,0.050324238,0.8356383
598.603,0.049194834,0.827708178
599.369,0.047293888,0.823117763
600.134,0.045651395,0.814392478
600.899,0.044620165,0.805451111
601.664,0.043461216,0.797729193
602.429,0.042837449,0.787649628
603.194,0.041254468,0.776859554
603.958,0.040413318,0.76713696
604.723,0.039382176,0.756622547
605.488,0.038225851,0.749463934
606.252,0.036402768,0.744462237
607.017,0.036343776,0.737800104
